,KNN,SVM,DecisionTree,RandomForest,Adaboost,XGBoost
OneHotEncoding,454.90565371513367,311.1092791557312,5.253603458404541,75.99846363067627,4610.0622618198395,649.7606966495514
tf_idf,451.28593564033514,316.00114750862116,3.743269443511963,77.16038203239441,4908.235129117966,747.2816512584686
own_word2vec,338.17076158523565,90.73194193840028,6.556750535964966,143.372739315033,8021.187109708786,310.1249899864197
pretrained_fasttext,243.17360258102417,-1.0,10.57351779937744,247.4354145526886,7812.0078003406525,873.9475002288817
own_fasttext,338.3619520664215,-1.0,10.595346450805664,243.29068326950073,5981.552704811096,812.2499740123749
