,KNN,SVM,DecisionTree,RandomForest,Adaboost,XGBoost
OneHotEncoding,0.457,0.6045,0.4335,0.617,0.6405,0.6365
tf_idf,0.583,0.6565,0.3965,0.608,0.6505,0.631
own_word2vec,0.581,0.5955,0.528,0.5895,0.611,0.614
pretrained_fasttext,0.447,-1.0,0.4275,0.4855,0.4735,0.483
own_fasttext,0.4365,-1.0,0.433,0.4815,0.4805,0.485
