,KNN,SVM,DecisionTree,RandomForest,Adaboost,XGBoost
OneHotEncoding,0.473125,-1,0.3958333333333333,0.6157291666666667,-1,-1
tf_idf,0.5848958333333333,-1,0.39375,0.6138541666666667,-1,-1
own_word2vec,0.618125,-1,0.5470833333333334,0.6302083333333334,-1,-1
pretrained_fasttext,0.4427083333333333,-1,0.43114583333333334,0.4666666666666667,-1,-1
own_fasttext,0.44614583333333335,-1,0.43166666666666664,0.47072916666666664,-1,-1
